-1,0,151,183,204
-0.7,1,144,179,202
-0.6,2,137,175,200
-0.4,3,113,162,203
-0.3,4,94,167,172
-0.1,5,56,164,119
0,6,15,176,43
1.1,7,244,226,0
1.3,8,251,195,0
1.5,9,255,175,0
2.4,10,255,153,0
3.1,11,255,126,0
3.4,12,255,98,0
3.7,13,252,76,2
4.4,14,245,54,5
4.9,15,241,21,32
5.3,16,237,0,71
5.9,17,227,0,113
6.2,18,220,0,156
6.4,19,201,0,186
7,20,182,0,215
